"tcga_participant_barcode","gene","expression_log2","z.score","cohort","sample_type","protocol","geneID"
"TCGA-E9-A2JT","MTOR",10.8816383149,0.471941282033,"BRCA","TP","RSEM",2475
"TCGA-BH-A0W4","MTOR",11.1665722277,1.23346628956,"BRCA","TP","RSEM",2475
"TCGA-BH-A0B5","MTOR",10.7449549818,0.156693047902,"BRCA","TP","RSEM",2475
"TCGA-BH-A0B5","MTOR",10.8894130031,0.490786505614,"BRCA","NT","RSEM",2475
"TCGA-AC-A3TN","MTOR",9.82497719164,-1.33899915489,"BRCA","TP","RSEM",2475
"TCGA-BH-A0B3","MTOR",10.6714231519,-0.000943361776552,"BRCA","TP","RSEM",2475
"TCGA-BH-A0B3","MTOR",10.6500374108,-0.0453017661813,"BRCA","NT","RSEM",2475
"TCGA-A7-A0CD","MTOR",10.5690934363,-0.207365919812,"BRCA","TP","RSEM",2475
"TCGA-AN-A0G0","MTOR",10.9667354284,0.683842648694,"BRCA","TP","RSEM",2475
"TCGA-E2-A10E","MTOR",10.0478949615,-1.0588495674,"BRCA","TP","RSEM",2475
"TCGA-OL-A66K","MTOR",9.91233654644,-1.23433799445,"BRCA","TP","RSEM",2475
"TCGA-E2-A14N","MTOR",10.0662847216,-1.03374731108,"BRCA","TP","RSEM",2475
"TCGA-5T-A9QA","MTOR",9.81980499421,-1.34499924427,"BRCA","TP","RSEM",2475
"TCGA-E2-A14V","MTOR",10.3233392169,-0.64720968201,"BRCA","TP","RSEM",2475
"TCGA-AC-A23H","MTOR",11.1380564679,1.15030500268,"BRCA","TP","RSEM",2475
"TCGA-AC-A23H","MTOR",10.811039792,0.305385241038,"BRCA","NT","RSEM",2475
"TCGA-BH-A18J","MTOR",10.950055715,0.641317599798,"BRCA","TP","RSEM",2475
"TCGA-BH-A18J","MTOR",11.046727662,0.894757833499,"BRCA","NT","RSEM",2475
"TCGA-A8-A06Z","MTOR",11.3157422025,1.69632496683,"BRCA","TP","RSEM",2475
"TCGA-A8-A06T","MTOR",10.8084063698,0.299328772,"BRCA","TP","RSEM",2475
"TCGA-S3-AA10","MTOR",10.718738606,0.0995669620058,"BRCA","TP","RSEM",2475
"TCGA-E9-A1N3","MTOR",11.3208603873,1.71307101869,"BRCA","TP","RSEM",2475
