"tcga_participant_barcode","gene","expression_log2","z.score","cohort","sample_type","protocol","geneID"
"TCGA-E9-A2JT","AKT3","9.7031585076",0.201574668282,"BRCA","TP","RSEM",10000
"TCGA-E9-A2JT","AKT2","11.5246277061",0.117993766411,"BRCA","TP","RSEM",208
"TCGA-E9-A2JT","AKT1","12.020421255",-0.177042658075,"BRCA","TP","RSEM",207
"TCGA-E9-A2JT","IKBKB","11.3814602156",0.791409652439,"BRCA","TP","RSEM",3551
"TCGA-E9-A2JT","MYCN","6.61078420508",0.270942256846,"BRCA","TP","RSEM",4613
"TCGA-E9-A2JT","MYCL1","7.37877690216",-0.20640596722,"BRCA","TP","RSEM",4610
"TCGA-E9-A2JT","MYC","9.70683114025",-0.735090118884,"BRCA","TP","RSEM",4609
"TCGA-E9-A2JT","PRKAA2","7.78766230782",-0.240947068137,"BRCA","TP","RSEM",5563
"TCGA-E9-A2JT","RB1","10.6107843896",0.735284412313,"BRCA","TP","RSEM",5925
"TCGA-E9-A2JT","STK11","10.0919110931",0.193204277721,"BRCA","TP","RSEM",6794
"TCGA-E9-A2JT","TP53","10.8088912341",0.1257257707,"BRCA","TP","RSEM",7157
"TCGA-BH-A0W4","AKT3","9.02254203568",-0.209827897049,"BRCA","TP","RSEM",10000
"TCGA-BH-A0W4","AKT2","11.5155001235",0.103496716572,"BRCA","TP","RSEM",208
"TCGA-BH-A0W4","AKT1","12.1048745558",-0.0557563626684,"BRCA","TP","RSEM",207
"TCGA-BH-A0W4","IKBKB","10.8535604845",0.113255464279,"BRCA","TP","RSEM",3551
"TCGA-BH-A0W4","MYCN","1.81664066252",-0.373007759596,"BRCA","TP","RSEM",4613
"TCGA-BH-A0W4","MYCL1","8.15648763167",0.195061088848,"BRCA","TP","RSEM",4610
"TCGA-BH-A0W4","MYC","11.3887349553",0.134224590335,"BRCA","TP","RSEM",4609
"TCGA-BH-A0W4","PRKAA2","8.19640983633",-0.118593102025,"BRCA","TP","RSEM",5563
"TCGA-BH-A0W4","RB1","10.4929152902",0.50412545228,"BRCA","TP","RSEM",5925
"TCGA-BH-A0W4","STK11","10.2213922114",0.410817611167,"BRCA","TP","RSEM",6794
"TCGA-BH-A0W4","TP53","10.5531933479",-0.20388156688,"BRCA","TP","RSEM",7157
"TCGA-BH-A0B5","AKT3","9.11383591214",-0.165246182876,"BRCA","TP","RSEM",10000
"TCGA-BH-A0B5","AKT3","9.48684366765",0.0492669341373,"BRCA","NT","RSEM",10000
"TCGA-BH-A0B5","AKT2","12.5020096015",2.34512398693,"BRCA","NT","RSEM",208
"TCGA-BH-A0B5","AKT2","11.5087567436",0.092845177943,"BRCA","TP","RSEM",208
"TCGA-BH-A0B5","AKT1","11.9894101118",-0.2198265317,"BRCA","TP","RSEM",207
"TCGA-BH-A0B5","AKT1","12.0613138753",-0.119201625542,"BRCA","NT","RSEM",207
"TCGA-BH-A0B5","IKBKB","11.2994066043",0.669055246031,"BRCA","TP","RSEM",3551
"TCGA-BH-A0B5","IKBKB","9.54406377095",-0.802359681334,"BRCA","NT","RSEM",3551
"TCGA-BH-A0B5","MYCN","3.66392522428",-0.310448756194,"BRCA","TP","RSEM",4613
"TCGA-BH-A0B5","MYCN","1.37834514884",-0.379315949079,"BRCA","NT","RSEM",4613
"TCGA-BH-A0B5","MYCL1","3.1152829954",-0.739104115801,"BRCA","NT","RSEM",4610
"TCGA-BH-A0B5","MYCL1","8.3408119241",0.326361062515,"BRCA","TP","RSEM",4610
"TCGA-BH-A0B5","MYC","10.6819075897",-0.354953119779,"BRCA","TP","RSEM",4609
"TCGA-BH-A0B5","MYC","11.296685621",0.0561614568102,"BRCA","NT","RSEM",4609
"TCGA-BH-A0B5","PRKAA2","9.10948645538",0.319329336353,"BRCA","TP","RSEM",5563
"TCGA-BH-A0B5","PRKAA2","6.74172449123",-0.433582033393,"BRCA","NT","RSEM",5563
"TCGA-BH-A0B5","RB1","10.4867913882",0.492623919073,"BRCA","TP","RSEM",5925
"TCGA-BH-A0B5","RB1","10.4085265453",0.349851151549,"BRCA","NT","RSEM",5925
"TCGA-BH-A0B5","STK11","9.89527459492",-0.102085193638,"BRCA","TP","RSEM",6794
"TCGA-BH-A0B5","STK11","9.66217932493",-0.403783157662,"BRCA","NT","RSEM",6794
"TCGA-BH-A0B5","TP53","11.0091572792",0.427920451083,"BRCA","TP","RSEM",7157
"TCGA-BH-A0B5","TP53","9.33445341538",-1.17333089007,"BRCA","NT","RSEM",7157
"TCGA-AC-A3TN","AKT3","6.88856305295",-0.736802623639,"BRCA","TP","RSEM",10000
"TCGA-AC-A3TN","AKT2","11.7482746279",0.50343386153,"BRCA","TP","RSEM",208
"TCGA-AC-A3TN","AKT1","12.3476832326",0.335235376297,"BRCA","TP","RSEM",207
"TCGA-AC-A3TN","IKBKB","10.7310325852",-0.0117195643562,"BRCA","TP","RSEM",3551
"TCGA-AC-A3TN","MYCN","5.41767364336",-0.10491756704,"BRCA","TP","RSEM",4613
"TCGA-AC-A3TN","MYCL1","5.27128373039",-0.637961257011,"BRCA","TP","RSEM",4610
"TCGA-AC-A3TN","MYC","9.45899505537",-0.797219688875,"BRCA","TP","RSEM",4609
"TCGA-AC-A3TN","PRKAA2","6.22863786139",-0.487729716202,"BRCA","TP","RSEM",5563
"TCGA-AC-A3TN","RB1","9.04318891108",-1.21715040572,"BRCA","TP","RSEM",5925
"TCGA-AC-A3TN","STK11","11.2423239476",3.02002587601,"BRCA","TP","RSEM",6794
"TCGA-AC-A3TN","TP53","9.85682871099",-0.854679678424,"BRCA","TP","RSEM",7157
"TCGA-BH-A0B3","AKT3","8.80991440012",-0.303349213806,"BRCA","TP","RSEM",10000
"TCGA-BH-A0B3","AKT3","10.5956726978",1.13836635492,"BRCA","NT","RSEM",10000
"TCGA-BH-A0B3","AKT2","11.703829534",0.422006051094,"BRCA","TP","RSEM",208
"TCGA-BH-A0B3","AKT2","11.0799553163",-0.491718636584,"BRCA","NT","RSEM",208
"TCGA-BH-A0B3","AKT1","11.6180749498",-0.666673742185,"BRCA","NT","RSEM",207
"TCGA-BH-A0B3","AKT1","12.2763968628",0.21354442374,"BRCA","TP","RSEM",207
"TCGA-BH-A0B3","IKBKB","9.38289741029",-0.867814930874,"BRCA","TP","RSEM",3551
"TCGA-BH-A0B3","IKBKB","10.802934573",0.0603287167963,"BRCA","NT","RSEM",3551
